,alpha_contig,alpha_alliance,alpha_trade
mean,0.32161476612091067,0.3706827908754349,0.30770243108272555
std,0.012671441571259592,0.014850442076523283,0.018032017016196607
min,0.29712945222854614,0.3523847162723541,0.28505340218544006
max,0.3348971903324127,0.39759641885757446,0.3390144407749176
