country,onset,type,max_risk,threshold,detected
Hungary,2010,backsliding,0.17380955777617646,0.01449547712793223,True
Hungary,2010,backsliding,0.17380955777617646,0.021588316861389137,True
Hungary,2010,backsliding,0.17380955777617646,0.028681156594846043,True
Hungary,2010,backsliding,0.17380955777617646,0.03577399632830295,True
Hungary,2010,backsliding,0.17380955777617646,0.04286683606175985,True
Hungary,2010,backsliding,0.17380955777617646,0.04995967579521676,True
Hungary,2010,backsliding,0.17380955777617646,0.05705251552867367,True
Hungary,2010,backsliding,0.17380955777617646,0.06414535526213057,True
Hungary,2010,backsliding,0.17380955777617646,0.07123819499558748,True
Hungary,2010,backsliding,0.17380955777617646,0.07833103472904439,True
Hungary,2010,backsliding,0.17380955777617646,0.0854238744625013,True
Hungary,2010,backsliding,0.17380955777617646,0.0925167141959582,True
Hungary,2010,backsliding,0.17380955777617646,0.0996095539294151,True
Hungary,2010,backsliding,0.17380955777617646,0.10670239366287201,True
Hungary,2010,backsliding,0.17380955777617646,0.11379523339632891,True
Hungary,2010,backsliding,0.17380955777617646,0.12088807312978582,True
Hungary,2010,backsliding,0.17380955777617646,0.12798091286324273,True
Hungary,2010,backsliding,0.17380955777617646,0.13507375259669965,True
Hungary,2010,backsliding,0.17380955777617646,0.14216659233015655,True
Hungary,2010,backsliding,0.17380955777617646,0.14925943206361345,True
Türkiye,2013,backsliding,0.4125784959670613,0.01449547712793223,True
Türkiye,2013,backsliding,0.4125784959670613,0.021588316861389137,True
Türkiye,2013,backsliding,0.4125784959670613,0.028681156594846043,True
Türkiye,2013,backsliding,0.4125784959670613,0.03577399632830295,True
Türkiye,2013,backsliding,0.4125784959670613,0.04286683606175985,True
Türkiye,2013,backsliding,0.4125784959670613,0.04995967579521676,True
Türkiye,2013,backsliding,0.4125784959670613,0.05705251552867367,True
Türkiye,2013,backsliding,0.4125784959670613,0.06414535526213057,True
Türkiye,2013,backsliding,0.4125784959670613,0.07123819499558748,True
Türkiye,2013,backsliding,0.4125784959670613,0.07833103472904439,True
Türkiye,2013,backsliding,0.4125784959670613,0.0854238744625013,True
Türkiye,2013,backsliding,0.4125784959670613,0.0925167141959582,True
Türkiye,2013,backsliding,0.4125784959670613,0.0996095539294151,True
Türkiye,2013,backsliding,0.4125784959670613,0.10670239366287201,True
Türkiye,2013,backsliding,0.4125784959670613,0.11379523339632891,True
Türkiye,2013,backsliding,0.4125784959670613,0.12088807312978582,True
Türkiye,2013,backsliding,0.4125784959670613,0.12798091286324273,True
Türkiye,2013,backsliding,0.4125784959670613,0.13507375259669965,True
Türkiye,2013,backsliding,0.4125784959670613,0.14216659233015655,True
Türkiye,2013,backsliding,0.4125784959670613,0.14925943206361345,True
Poland,2015,backsliding,0.1754931900907851,0.01449547712793223,True
Poland,2015,backsliding,0.1754931900907851,0.021588316861389137,True
Poland,2015,backsliding,0.1754931900907851,0.028681156594846043,True
Poland,2015,backsliding,0.1754931900907851,0.03577399632830295,True
