auc_roc,auc_pr,auc_roc_oos_2017,auc_pr_oos_2017,watch_detected,watch_total,watch_sensitivity,configuration,n_features
0.9335075937556355,0.6097482843155363,0.978478281264659,0.7953747151359264,36,37,0.972972972972973,full,88
0.8996757854460204,0.5649847251133945,0.954066985645933,0.7027270720791332,34,37,0.918918918918919,ablate_dsp,68
0.915238672092458,0.5247601815723009,0.9782906464021016,0.7125648049225848,34,37,0.918918918918919,dsp_only,20
-0.033831808309615075,-0.04476355920214181,-0.024411295618726014,,2,37,-0.05405405405405406,delta_full_minus_ablate,20
