country_name,country_text_id,year,risk_score,csd_index,polyarchy_at_alert,polyarchy_change_5yr,fp_type,is_stable_democracy,region_code
Argentina,ARG,2024,0.06884715731580385,5.682919147502348,0.721,-0.031000000000000028,true_fp,False,AR
Azerbaijan,AZE,2013,0.05321803290744892,4.645684488304192,0.202,-0.010000000000000009,true_fp,False,AZ
Bangladesh,BGD,2000,0.03067267353782836,1.1631443492553284,0.512,-0.04200000000000004,true_fp,False,BG
Bangladesh,BGD,2013,0.10918611273629089,3.3364323661990722,0.376,-0.124,near_miss,False,BG
Bhutan,BTN,2012,0.04401965628388595,5.147493856987388,0.597,-0.038999999999999924,true_fp,False,BT
Bhutan,BTN,2013,0.03434976422116784,5.157247936032819,0.573,-0.014999999999999902,true_fp,False,BT
Bhutan,BTN,2017,0.0559293860822176,2.838301357251279,0.571,-0.0129999999999999,true_fp,False,BT
Bolivia,BOL,2018,0.06493937622963282,4.938188492630992,0.593,-0.31799999999999995,near_miss,False,BO
Bolivia,BOL,2021,0.052090284081563715,5.023755028180004,0.608,-0.031000000000000028,true_fp,False,BO
Bolivia,BOL,2024,0.04720844579304594,5.0872792725938245,0.577,0.0,true_fp,False,BO
Bolivia,BOL,2025,0.047232399947489824,5.302914207535401,0.605,0.0,true_fp,False,BO
Bosnia and Herzegovina,BIH,2000,0.03209639797684781,0.9178019942001209,0.635,0.0,true_fp,False,BI
Bosnia and Herzegovina,BIH,2002,0.05272033115251928,1.7571284070220077,0.654,-0.08800000000000008,near_miss,False,BI
Bosnia and Herzegovina,BIH,2003,0.04291727287066162,1.8976095964423876,0.661,-0.09899999999999998,near_miss,False,BI
Bosnia and Herzegovina,BIH,2006,0.030711872474059133,0.5009506077254016,0.626,-0.06599999999999995,near_miss,False,BI
Bosnia and Herzegovina,BIH,2009,0.031878259547956166,1.891833059532967,0.56,-0.0030000000000000027,true_fp,False,BI
Botswana,BWA,2023,0.037839068118395595,5.2631886052197885,0.564,0.0,true_fp,False,BW
Botswana,BWA,2024,0.03325215779271862,5.254350183673541,0.595,0.0,true_fp,False,BW
Brazil,BRA,2021,0.06377237002012354,4.091478612833827,0.69,0.0,true_fp,False,BR
Brazil,BRA,2022,0.0638725604365062,4.237428207130422,0.699,0.0,true_fp,False,BR
Bulgaria,BGR,2021,0.03204237910563245,3.5181645038337437,0.665,-0.06600000000000006,near_miss,False,BG
Burma/Myanmar,MMR,2015,0.06977604140554824,4.980893301845337,0.37,0.0,true_fp,False,MM
Colombia,COL,2014,0.053217405932786954,3.044466263954209,0.677,-0.026000000000000023,true_fp,False,CO
Costa Rica,CRI,2006,0.043061013385355174,1.5676347492386664,0.905,0.0,stable_democracy_fp,True,CR
Costa Rica,CRI,2010,0.05920695021983616,1.8527296421932924,0.91,-0.0040000000000000036,stable_democracy_fp,True,CR
Costa Rica,CRI,2014,0.03683840057620389,2.3154152332949622,0.906,-0.016000000000000014,stable_democracy_fp,True,CR
Costa Rica,CRI,2018,0.04494340307687915,2.4407093359852183,0.89,-0.028000000000000025,stable_democracy_fp,True,CR
Democratic Republic of the Congo,COD,2008,0.03510490577745089,4.125130342718018,0.357,-0.03799999999999998,true_fp,False,CO
Ecuador,ECU,2006,0.03279906009469248,3.6506857181312946,0.693,-0.11199999999999999,near_miss,False,EC
Ecuador,ECU,2007,0.03331718808001971,5.029749962776644,0.671,-0.09000000000000008,near_miss,False,EC
Ecuador,ECU,2010,0.04648151240442911,4.804946917616784,0.588,-0.05499999999999994,near_miss,False,EC
Ecuador,ECU,2012,0.04611832896312457,5.566761866301528,0.586,-0.052999999999999936,near_miss,False,EC
Ecuador,ECU,2013,0.07632221497249334,4.776333616750195,0.538,-0.0050000000000000044,true_fp,False,EC
Ecuador,ECU,2014,0.030259090181785474,5.505091382056941,0.534,-0.0010000000000000009,true_fp,False,EC
Ecuador,ECU,2017,0.042328508218210395,5.770470762263175,0.552,0.0,true_fp,False,EC
Ecuador,ECU,2018,0.03263445920253304,5.907781347434746,0.641,-0.02400000000000002,true_fp,False,EC
Ecuador,ECU,2021,0.08513659852149079,5.645137281927175,0.625,-0.018000000000000016,true_fp,False,EC
Egypt,EGY,2015,0.048654008807626825,4.304932996864044,0.156,0.0,true_fp,False,EG
Egypt,EGY,2017,0.035625436880319106,4.28834582161482,0.178,-0.0040000000000000036,true_fp,False,EG
Egypt,EGY,2018,0.037299207377290214,4.232328048298923,0.176,-0.0020000000000000018,true_fp,False,EG
Egypt,EGY,2019,0.04271574141434426,4.589381627968896,0.174,0.0,true_fp,False,EG
Egypt,EGY,2020,0.06940736042020443,5.221830795171622,0.176,0.0,true_fp,False,EG
Egypt,EGY,2022,0.032555238276614926,5.313497103130692,0.183,0.0,true_fp,False,EG
Egypt,EGY,2023,0.05579465147487882,5.45889641549306,0.187,-0.0010000000000000009,true_fp,False,EG
Eswatini,SWZ,2007,0.062486514531178934,3.3430137789652177,0.129,-0.0050000000000000044,true_fp,False,SW
Fiji,FJI,2014,0.04565066440396744,4.924254053326774,0.196,0.0,true_fp,False,FJ
Finland,FIN,2023,0.045507836573454266,3.380031377893585,0.853,-0.026000000000000023,stable_democracy_fp,True,FI
France,FRA,2022,0.04669292345487647,4.062922674380895,0.875,-0.01100000000000001,stable_democracy_fp,True,FR
Gabon,GAB,2023,0.03209687016058131,5.5104469917055425,0.325,-0.098,near_miss,False,GA
Gabon,GAB,2025,0.031466641388476796,5.244383741291314,0.302,0.0,true_fp,False,GA
Germany,DEU,2025,0.04991247704315998,4.422705288981927,0.828,0.0,stable_democracy_fp,True,DE
Greece,GRC,2012,0.03927375552888452,5.1914191098228795,0.897,-0.029000000000000026,true_fp,False,GR
Greece,GRC,2013,0.055703806553845374,5.187047898409535,0.889,-0.030000000000000027,true_fp,False,GR
Greece,GRC,2014,0.035347869614124644,5.038237665618873,0.889,-0.030000000000000027,true_fp,False,GR
Greece,GRC,2023,0.030504037400209245,4.581167393530471,0.735,0.0,true_fp,False,GR
