seed,country,contagion,domestic
0,Argentina,0.5337694392665504,0.4662305607334496
0,Brazil,0.3459323063482704,0.6540676936517296
0,Denmark,0.21999861434795498,0.780001385652045
0,Hungary,0.5637745377786862,0.43622546222131375
0,Poland,0.3568335979535656,0.6431664020464344
0,Serbia,0.5342516377101444,0.4657483622898556
0,Tunisia,0.5342358019509639,0.4657641980490361
0,Türkiye,0.24455124337815223,0.7554487566218477
0,Ukraine,0.5817578772725613,0.41824212272743866
0,United States of America,0.33359696034423225,0.6664030396557677
1,Argentina,0.4777133144569003,0.5222866855430996
1,Brazil,0.29112590547570816,0.7088740945242918
1,Denmark,0.260685560708257,0.739314439291743
1,Hungary,0.5317796625306773,0.4682203374693227
1,Poland,0.29506455506454615,0.7049354449354539
1,Serbia,0.6268056371666049,0.37319436283339513
1,Tunisia,0.5778511984153295,0.4221488015846705
1,Türkiye,0.17796538716766985,0.8220346128323301
1,Ukraine,0.6772922481027638,0.3227077518972362
1,United States of America,0.35768549207199674,0.6423145079280033
2,Argentina,0.5425078472578223,0.4574921527421777
2,Brazil,0.342014465323435,0.6579855346765651
2,Denmark,0.20348692301360627,0.7965130769863937
2,Hungary,0.7200107175615379,0.2799892824384621
2,Poland,0.42141120301075286,0.5785887969892471
2,Serbia,0.6173034993451996,0.38269650065480043
2,Tunisia,0.5803272200682943,0.4196727799317057
2,Türkiye,0.2648066931629443,0.7351933068370557
2,Ukraine,0.7005621435371221,0.2994378564628779
2,United States of America,0.3323782647892202,0.6676217352107798
3,Argentina,0.42874294210000474,0.5712570578999953
3,Brazil,0.19730286396063576,0.8026971360393642
3,Denmark,0.20717405335587946,0.7928259466441205
3,Hungary,0.7557516551843378,0.24424834481566216
3,Poland,0.40060733168619844,0.5993926683138016
3,Serbia,0.6449282601890444,0.35507173981095563
3,Tunisia,0.4363729843964863,0.5636270156035137
3,Türkiye,0.16654723154876241,0.8334527684512376
3,Ukraine,0.6264411220645343,0.3735588779354657
3,United States of America,0.29363215632097206,0.7063678436790279
4,Argentina,0.463797005090527,0.536202994909473
4,Brazil,0.38431698825577904,0.6156830117442209
4,Denmark,0.20959573530570014,0.7904042646942999
4,Hungary,0.5387251015883299,0.46127489841167013
4,Poland,0.2687752434755127,0.7312247565244874
4,Serbia,0.628206784214139,0.371793215785861
4,Tunisia,0.5303071784352051,0.46969282156479486
4,Türkiye,0.2583130922196221,0.7416869077803778
4,Ukraine,0.6820387348817641,0.31796126511823586
4,United States of America,0.29395841766854025,0.7060415823314597
5,Argentina,0.4820602231405468,0.5179397768594531
5,Brazil,0.1990075532155241,0.8009924467844759
5,Denmark,0.21013499972349553,0.7898650002765044
5,Hungary,0.739125407227421,0.26087459277257896
5,Poland,0.3513827365436332,0.6486172634563667
5,Serbia,0.6352330533286908,0.36476694667130916
5,Tunisia,0.4765840123406098,0.5234159876593902
5,Türkiye,0.22172807630097605,0.778271923699024
5,Ukraine,0.642872190243245,0.35712780975675495
5,United States of America,0.3655307599412578,0.6344692400587422
6,Argentina,0.4945865717169818,0.5054134282830183
6,Brazil,0.31816586680002173,0.6818341331999782
6,Denmark,0.22095580591616948,0.7790441940838305
6,Hungary,0.6135937782218464,0.38640622177815365
6,Poland,0.40423589431194823,0.5957641056880518
6,Serbia,0.7455500545138647,0.2544499454861353
6,Tunisia,0.7296384357973881,0.2703615642026119
6,Türkiye,0.38030145622829364,0.6196985437717064
6,Ukraine,0.8139782722043295,0.1860217277956705
6,United States of America,0.37992096392953173,0.6200790360704682
7,Argentina,0.3876196327632114,0.6123803672367887
7,Brazil,0.27050053713483535,0.7294994628651646
7,Denmark,0.2263353270052976,0.7736646729947024
7,Hungary,0.5475991374363062,0.45240086256369383
7,Poland,0.3574836800150383,0.6425163199849617
7,Serbia,0.49683093370783205,0.503169066292168
7,Tunisia,0.492609171112454,0.5073908288875459
7,Türkiye,0.1757132654888817,0.8242867345111183
7,Ukraine,0.61993896957297,0.38006103042703
7,United States of America,0.3462020442590207,0.6537979557409793
8,Argentina,0.5053060786014526,0.4946939213985474
8,Brazil,0.2969680281174281,0.7030319718825719
8,Denmark,0.21515949692932881,0.7848405030706712
8,Hungary,0.5684788137557719,0.4315211862442281
8,Poland,0.38772693543226866,0.6122730645677313
8,Serbia,0.5999641608884372,0.4000358391115628
8,Tunisia,0.6422192559359474,0.3577807440640526
8,Türkiye,0.3181522516923955,0.6818477483076044
8,Ukraine,0.6813800195279746,0.31861998047202544
8,United States of America,0.3054783778034559,0.6945216221965441
9,Argentina,0.4870607506036729,0.5129392493963272
9,Brazil,0.33085222748175597,0.669147772518244
9,Denmark,0.1992614162667736,0.8007385837332264
9,Hungary,0.7273766293220845,0.27262337067791553
9,Poland,0.40987827157008755,0.5901217284299125
9,Serbia,0.6124802454505588,0.3875197545494412
9,Tunisia,0.42072661805225775,0.5792733819477422
9,Türkiye,0.19028743203086762,0.8097125679691324
9,Ukraine,0.62646948554945,0.37353051445054997
9,United States of America,0.26332901872071707,0.7366709812792829
