country,factor,q_state,r_obs,snr,neg_loglik,T,beta_mean,beta_std
Mexico,factor_1,0.25291376873057,0.0021252240494719753,119.00569673743713,-75.17159708345035,56,0.9766197362446363,0.5877798521147864
Mexico,factor_2,0.00033546262790251185,0.001839312664443196,0.1823847757847437,-83.9611468672165,56,-0.2878153418181877,0.12863562324911282
Mexico,factor_3,0.007400610433780368,0.004166365099807763,1.776275063873263,-63.452879483178954,56,-0.010808917699345473,0.17832994151219303
Mexico,factor_4,0.00033546262790251185,0.012084108235138289,0.02776064409345907,-38.37117862943939,56,-0.4343081308416677,0.27517881399445165
Sweden,factor_1,0.00033546262790251185,0.00033546262790251185,1.0,-130.0487479313329,56,0.03776343207223543,0.027387378793250157
Sweden,factor_2,0.011994721444643672,0.0005815369072092626,20.62589888267821,-110.81368430728534,56,-0.007816305893261837,0.18151845175382228
Sweden,factor_3,0.00033546262790251185,0.0024012529486341816,0.13970316125725987,-77.01952645223699,56,0.4352710104123371,0.08839429988079264
Sweden,factor_4,0.00033546262790251185,0.007277949332976192,0.04609301501764236,-50.61355420746,56,0.32889754668807464,0.12084082601699359
Switzerland,factor_1,0.00033546262790251185,0.0009635505892404747,0.348152584460503,-98.8290079651115,56,0.13847932268863974,0.04389150641027095
Switzerland,factor_2,0.2471409229237519,0.012299509800638882,20.09355876206664,-36.66321582670325,56,0.7923639484098194,0.5684614519012529
Switzerland,factor_3,0.00033546262790251185,0.09967168363024602,0.0033656763454200703,13.232145230435666,56,1.0331702945454024,0.4451219594984312
Switzerland,factor_4,7.38905609893065,0.6077452719821449,12.158146578140283,60.4605103136949,56,4.800683687228529,5.743503264024996
Ghana,factor_1,2.1683535185121237,0.02501741726108088,86.67375596302621,-15.729474167850519,56,2.7899120030667723,1.4286165797389805
Ghana,factor_2,0.00033546262790251185,0.009750681441775476,0.034404018827368064,-43.684475454552256,56,1.4869666924342855,0.2030814264448333
Ghana,factor_3,0.7598105056594731,0.25036456562313186,3.0348164636172945,36.670940639252045,56,2.5558993947435065,1.0893584275498995
Ghana,factor_4,0.6818303914276982,0.03943666357403613,17.289251413159455,-7.302904167857895,56,1.333667809935964,1.3408511561167729
South Africa,factor_1,0.017970086890535693,0.012481387856954207,1.4397506989195412,-36.82687015808675,56,1.1798993587518425,0.20075810672826858
South Africa,factor_2,0.00033546262790251185,0.003967448015579319,0.08455375510535283,-65.43030385684476,56,-0.21361885826533802,0.07238301475004831
South Africa,factor_3,0.00033546262790251185,0.03188628536788238,0.010520592914231656,-14.506891472318165,56,0.5288021561791967,0.23869484599118665
South Africa,factor_4,0.00033546262790251185,0.008161708696454733,0.041102009441752005,-47.87439366186981,56,0.044881710510623396,0.0796433440963501
Japan,factor_1,0.01150163535872583,0.00033546262790251185,34.28589178663532,-135.76362801413927,56,0.24731484192338035,0.22520137297141096
Japan,factor_2,0.07460119252702029,0.0005232297125673143,142.57828012284895,-111.01170473369878,56,0.49317008077116214,0.2935098770687477
Japan,factor_3,0.004326885537636225,0.0006465138703422148,6.692641466989571,-107.69251576535736,56,0.24894400508848472,0.12041365253773906
Japan,factor_4,0.002096212179471358,0.00033546262790251185,6.248720438929293,-133.0250655143298,56,0.09659324619841383,0.07312811299031688
Burma/Myanmar,factor_1,0.00033546262790251185,0.009629308668615676,0.03483766482591512,-43.61652985488439,55,0.8234464432309454,0.4400225504611594
Burma/Myanmar,factor_2,0.3003638811675506,0.004066420252215107,73.86444650031756,-62.25220859600628,55,1.4433810950445878,0.8502207086884777
Burma/Myanmar,factor_3,0.04261087791548189,0.08752548832715051,0.4868396478544861,10.149009468575223,55,-0.9154228117797213,1.0372741735927533
Burma/Myanmar,factor_4,0.7357736257918688,0.032087309039440085,22.93036243355569,-12.007805095119794,55,-0.9630663428800322,1.132251712291523
Russia,factor_1,7.38905609893065,0.0008859358926885752,8340.395913418599,-58.853071070119,56,0.32008807737172346,3.3378794348552763
Russia,factor_2,7.38905609893065,0.0030575380496627156,2416.668567622815,-54.19369537416102,56,4.7132664888776885,3.8733837250656524
Russia,factor_3,0.00033546262790251185,0.012303615690666155,0.027265369492725833,-37.61341035667052,56,-0.3551699720353964,0.19933881113770924
Russia,factor_4,0.00033546262790251185,0.04050517199546549,0.008281970212101964,-8.899910924432827,56,0.6111674367563671,0.24326043173797154
Albania,factor_1,7.38905609893065,0.0007333988386942487,10075.085627468687,-41.199085741617935,56,1.4563986896596104,2.8323910160270516
Albania,factor_2,7.38905609893065,0.01036746949296109,712.7154899223375,-21.264523472178478,56,3.1952670093685325,3.014173217889281
Albania,factor_3,0.23916393595924873,0.002569795723857047,93.06729470320847,-69.65648874415248,56,-0.08182653944510541,0.49212699102398805
Albania,factor_4,0.00033546262790251185,0.02116386709985354,0.015850724554249036,-24.677994781880628,56,-0.4650357457437184,0.13572029325893245
Egypt,factor_1,2.1555751579128044,0.007614543336902691,283.0865966007636,-41.01190093962067,56,3.079106698377801,3.710088705680318
Egypt,factor_2,0.12761630834137397,0.010121077235197572,12.608964972381498,-41.74902523929073,56,0.4450563881996916,0.7215126224557207
Egypt,factor_3,0.00033546262790251185,0.1538358813828149,0.002180652685752328,23.69452594263973,56,-0.5019588766703685,0.6159517195800398
Egypt,factor_4,0.00033546262790251185,0.042730521241617976,0.00785065611546492,-7.621254785140113,56,-0.5142545107310924,0.24035560210298812
Yemen,factor_1,1.0375217228037428,0.0036306474050852725,285.76769017848886,-59.118278995985385,56,2.5272871085620414,2.026010797513807
Yemen,factor_2,0.03869878975251093,0.007080948950218232,5.465198241729769,-50.85805361251142,56,2.5487225845553243,0.3556858334340108
Yemen,factor_3,0.00033546262790251185,0.12842116781147508,0.0026122066448965634,19.284274955486033,56,0.6055185031942696,0.6707220022852073
Yemen,factor_4,0.00033546262790251185,0.021132489332993915,0.015874259895106532,-24.772677934871602,56,0.17692423848637814,0.3036250852421396
Colombia,factor_1,0.6933813607235432,0.002114465993642858,327.92268251567737,-71.67228284138672,56,0.3794348183081727,0.5640622282106617
Colombia,factor_2,0.009522144904134321,0.0018378514718007633,5.181128644092405,-83.57657397419482,56,-0.5700632144372094,0.16381335176964926
Colombia,factor_3,0.02588894171846687,0.006927200305309622,3.7372878764056074,-50.837127893022036,56,0.5698215787771004,0.2984081390877559
Colombia,factor_4,0.5471368924486839,0.12188765568072259,4.488862218187839,19.012477880012014,56,0.028769310711219697,1.5745360335659302
Poland,factor_1,0.00033546262790251185,0.0397986836970947,0.008428988015173994,-9.21994019300515,56,4.528724766010463,0.3051630721005221
Poland,factor_2,7.38905609893065,0.017930385527381423,412.0968892524286,-21.68043647657784,56,0.34040407048454263,1.3338306164432847
Poland,factor_3,0.3751532581249368,0.006168469106941774,60.8178871647023,-49.512124535638044,56,-0.6352057100164642,0.4999530523279531
Poland,factor_4,0.00033546262790251185,0.05243118564574473,0.006398150714521134,-2.5017507867009314,56,-1.2783335470919648,0.38171072683836554
Brazil,factor_1,3.7997289690855607,0.004647393498007185,817.604313195105,-47.7077013535467,56,1.952463832440346,2.0463067047279684
Brazil,factor_2,0.0615496523064972,0.0033478728563044054,18.384704243051694,-68.49641656470303,56,-0.4872927171217908,0.48251569181411846
Brazil,factor_3,0.022366737181254533,0.008056866587855684,2.776108669214962,-47.26511672606731,56,0.5282934658521976,0.2342108862164865
Brazil,factor_4,0.00033546262790251185,0.012957371557237994,0.025889712772427388,-36.44756779513347,56,-0.3586401752300873,0.27138156177711964
United States of America,factor_1,0.00033546262790251185,0.0009459508705219865,0.3546300747282993,-99.39637621560699,56,0.11377310242742164,0.032629587970473516
United States of America,factor_2,0.07588593388521003,0.0009544415830177265,79.50820169137646,-97.4002681590626,56,-0.5393717494408437,0.4555275538316719
United States of America,factor_3,0.00033546262790251185,0.005756279892115172,0.0582776783252012,-56.04372985426857,56,0.3749758049256931,0.07704667060874519
United States of America,factor_4,0.020725538521090103,0.002550630981625247,8.125651523249322,-74.70987536805892,56,0.512590644397208,0.22107128649934013
Portugal,factor_1,0.43274837557028456,0.04712018353843783,9.183928055315707,-3.541514978007206,56,-0.5424630715653046,0.7455362270109593
Portugal,factor_2,0.08994930149269753,0.00838318307728481,10.729731256427575,-46.39424698216049,56,0.135834023528267,0.2243869342973765
Portugal,factor_3,0.16025138644273113,0.06458998290451944,2.481056337785749,3.3254819038863426,56,1.2514234159613142,0.9252300002505375
Portugal,factor_4,0.00033546262790251185,0.009480973810157164,0.03538271854976793,-44.1420970827589,56,-0.018072285970165254,0.13807858150435254
Bangladesh,factor_1,0.032528623584597724,0.01839860432819342,1.7679940828311593,-26.837499751263753,54,0.718529556966713,0.1676483841375276
Bangladesh,factor_2,0.47387726038475225,0.009842425115293683,48.14639225940532,-40.37185242189428,54,1.1620762952612955,0.9902345542969978
Bangladesh,factor_3,0.736631354870301,0.30724940500635306,2.3975029499408453,40.64281005175306,54,0.5426597943491815,1.161032591339495
Bangladesh,factor_4,2.020388860315282,0.06538552584750212,30.899634653507427,5.784671822602453,54,-0.747614805308484,1.7824391476706223
Bolivia,factor_1,0.00033546262790251185,0.02324449699408661,0.014431915992325125,-22.05174692461413,56,0.3062181721629331,0.1572298125045222
Bolivia,factor_2,0.0444691421185971,0.00859735909589895,5.172418834966361,-46.0392375415379,56,0.21218057412251676,0.27072979954834947
Bolivia,factor_3,0.07148040960265778,0.06267060204920531,1.1405732076187096,2.307506288800636,56,2.2783240718604634,0.6796262429419869
Bolivia,factor_4,0.00033546262790251185,0.12097970928869825,0.0027728834023066236,17.895869917560088,56,1.1130335216819898,0.45606038838471225
Haiti,factor_1,0.00033546262790251185,0.022575799787886177,0.01485939063308472,-23.023909136239677,56,0.8181257996421937,0.31531693977204867
Haiti,factor_2,0.00033546262790251185,0.01219065206408853,0.027518021688989425,-38.256513871174946,56,0.040866095415388576,0.30881137669432784
Haiti,factor_3,0.00033546262790251185,0.1731368018107611,0.0019375581874798242,26.59865602673805,56,-0.11984001805023986,0.9292321397357459
Haiti,factor_4,0.00033546262790251185,0.044308245464969157,0.00757111062246268,-6.726069500617683,56,-1.2979811110275967,0.45419105044161767
Mali,factor_1,6.38325392603782,0.0011509660764282878,5545.996582146473,-64.81940216975634,56,1.280162447374901,1.965737641577286
Mali,factor_2,1.8369094713721708,0.0018426796067891732,996.8686170966765,-73.90854765930405,56,0.9080089837967543,0.99268358839966
Mali,factor_3,1.6867720074168553,0.1912062743623371,8.821739835903145,30.952939288812406,56,2.382280670081691,1.8807844404408314
Mali,factor_4,0.00033546262790251185,0.010684593310288534,0.0313968550940993,-41.11702059960287,56,0.5927605173441625,0.2601162942631328
Pakistan,factor_1,0.31304700371915917,0.011700058152814262,26.75602117788284,-36.4031766136395,56,0.2714830405202588,0.6727304833820618
Pakistan,factor_2,0.04060402206011695,0.007550148119581681,5.377910660429087,-49.20057192713157,56,0.7726809684091029,0.2730011656322728
Pakistan,factor_3,0.37198580453164415,0.25058036443934345,1.4844970210013746,36.25799425298149,56,-0.41759623521398453,0.9987277987335831
Pakistan,factor_4,0.40218810535028604,0.077508943288394,5.188925152208967,8.08788966945593,56,1.4866796482743194,1.1811992213769666
Senegal,factor_1,0.00033546262790251185,0.0012797424862173942,0.2621329146413333,-92.07270846414949,56,0.31300416205678006,0.03568274553946674
Senegal,factor_2,0.11944446998889874,0.00215116829939709,55.52539521076782,-78.1752392159675,56,0.47902592612346784,0.5899592556944452
Senegal,factor_3,0.00033546262790251185,0.006732145165901097,0.04982997538461579,-52.27888082328681,56,0.329724981423513,0.08057406148751048
