country_text_id,year,nscm_resid_full_0,nscm_resid_domestic_0,nscm_resid_full_1,nscm_resid_domestic_1,nscm_resid_full_2,nscm_resid_domestic_2,nscm_resid_full_3,nscm_resid_domestic_3,nscm_resid_full_4,nscm_resid_domestic_4
FJI,1990,-0.00058530516,-0.0026407107,-0.029829822,-0.01611141,-0.023628108,-0.031223744,-0.48176867,-0.5360738,0.53581196,0.58604956
FRA,1990,0.49218833,0.31446028,-0.30021334,-0.20388597,-0.14880121,-0.10015528,-0.04156033,-0.005777679,-0.0016134232,-0.004641362
GAB,1990,-8.639369e-05,-0.0007017363,-0.0020295153,-0.0019347789,-0.36438337,-0.6791503,0.41655713,0.8176204,-0.050057862,-0.1358336
GBR,1990,0.26384956,0.10339701,-0.16105948,-0.05441877,-0.05312154,-0.037995744,-0.048295148,-0.006945507,-0.001373417,-0.004036981
GEO,1990,-0.0005216702,-0.008377001,-0.024829756,-0.053286206,-0.35902253,-0.38604182,-0.40055487,-0.29978085,-0.21507122,-0.2525141
GHA,1990,-3.8940434e-05,-2.805766e-05,-0.0077743744,-0.008317909,-0.0016420434,-0.0047497205,0.4040354,0.5604425,-0.39458004,-0.54734683
GIN,1990,-5.495345e-06,-7.4093396e-07,-0.0018965605,-0.0009932106,-0.0003872813,-0.0013588428,0.3972605,0.54590446,-0.3949712,-0.5435517
GMB,1990,-0.00029733835,-0.0031134402,-0.012970113,-0.014617365,-0.14613606,-0.4084993,-0.72680455,-0.3486169,0.88620806,0.7748471
GNB,1990,-6.979911e-06,-2.3980906e-06,-0.0015214814,-0.0010268571,-0.00060816307,-0.0019864212,0.041753113,0.27249283,-0.039616555,-0.26947716
GNQ,1990,-1.9854624e-06,-9.741748e-07,-0.00058291416,-0.00063965766,-0.0016403841,-0.0068003237,-0.31527656,-0.039642096,0.31750184,0.04708296
GRC,1990,-0.84978783,-0.8054231,0.9009442,0.9042028,-0.0435387,-0.09693258,-0.0074665234,-0.0011890479,-0.00015113519,-0.00065804867
GTM,1990,-0.00026652153,-0.00041908267,-0.01023106,-0.0047594905,0.7196182,0.6222073,-0.64738977,-0.41248825,-0.061730754,-0.20454039
GUY,1990,-0.0016855517,-0.0044280463,-0.0091271745,-0.012222743,0.18155372,0.3271132,-0.13432954,-0.18896616,-0.036411505,-0.121496275
HRV,1990,-0.00046537034,-0.006942769,-0.022744883,-0.048172567,-0.37078863,-0.45233032,-0.32880056,-0.26972386,-0.27720052,-0.22283046
HTI,1990,-7.1675604e-05,-6.886358e-05,-0.01116849,-0.0039165695,-0.010427407,-0.021036498,0.14311838,0.29594266,-0.12145085,-0.27092072
HUN,1990,-0.03942021,-0.0988353,-0.7300939,-0.81210375,-0.015104059,-0.007080532,0.78696185,0.9254794,-0.0023437226,-0.0074597844
IDN,1990,-1.2501809e-05,-1.0963099e-05,-0.00092409743,-0.0008956103,-0.01750558,-0.03940406,-0.28560242,-0.23492362,0.3040446,0.27523422
IND,1990,-0.008533741,-0.1891285,-0.0059011946,-0.005516652,0.16479611,0.2497248,-0.14714275,-0.046196382,-0.003218481,-0.008883285
IRL,1990,-0.5361821,-0.7662771,0.6931629,0.85183835,-0.10327204,-0.0734189,-0.05199954,-0.007042331,-0.0017092049,-0.0051001124
IRN,1990,-2.0749572e-05,-2.845158e-05,-0.0026087298,-0.0041499184,-0.0049758465,-0.009888799,0.6832131,0.6956888,-0.6756077,-0.6816216
IRQ,1990,-2.1123099e-06,-1.626578e-07,-0.00022243558,-8.701934e-05,-0.00097707,-0.0032613338,-0.1694221,-0.14578903,0.17062372,0.14913762
ISL,1990,0.041212916,0.04873228,-0.026696716,-0.02179533,-0.009714703,-0.023582386,-0.004662292,-0.0017503311,-0.00013927929,-0.0016042225
ISR,1990,0.033463597,0.07776064,-0.008883621,-0.003986978,-0.021525562,-0.07016707,-0.0029554926,-0.0024049678,-9.882035e-05,-0.001201647
ITA,1990,-0.012450013,-0.037242033,0.03799206,0.057536364,-0.003670366,-0.0030994469,-0.019025223,-0.011790652,-0.0028465143,-0.0054042684
JAM,1990,0.033897758,-0.0015290976,-0.017508416,-0.0070388056,0.04254231,0.028992295,-0.05768532,-0.013963247,-0.0012463663,-0.0064611337
JOR,1990,-0.0006102963,-0.0015778694,-0.01246675,-0.007513623,-0.100051455,-0.12460318,0.5796329,0.5888673,-0.46650442,-0.45517266
JPN,1990,0.056452513,0.05326271,-0.036556493,-0.020934833,-0.013024662,-0.027766582,-0.0067086644,-0.0024344209,-0.00016273295,-0.0021268658
KAZ,1990,-0.0005560872,-0.008307053,-0.025555702,-0.05113657,-0.37076813,-0.41030827,-0.3150573,-0.27466205,-0.2880628,-0.25558603
KEN,1990,-5.1700903e-05,-7.7581004e-05,-0.0021239265,-0.0013128954,-0.14520305,-0.27285358,0.4334917,0.678141,-0.28611305,-0.40389693
KGZ,1990,-0.00048156534,-0.0073466995,-0.02303312,-0.047304694,-0.3672128,-0.42141062,-0.30149692,-0.26951763,-0.30777556,-0.25442043
KHM,1990,-3.5304167e-06,-2.7670721e-06,-0.00036352698,-0.00014292136,-0.0022499145,-0.00591063,0.35779554,0.60330844,-0.35517856,-0.5972521
KOR,1990,-0.010856797,-0.19096586,-0.19925134,-0.32353243,0.5313782,0.6949034,-0.30975518,-0.10557456,-0.011514913,-0.07483056
LAO,1990,-6.1782703e-06,-5.7112347e-06,-0.0003603791,-0.00041402166,-0.0036989106,-0.007203375,-0.21905504,-0.1476545,0.22312057,0.15527767
LBN,1990,-0.00067482423,-0.0038078078,-0.010785101,-0.0037212817,-0.26826656,-0.3444239,0.38457114,0.552546,-0.10484466,-0.20059308
LBR,1990,-1.5118408e-05,-8.741335e-06,-0.004992319,-0.0036751765,-0.0010301309,-0.0036121856,0.28761965,0.3964514,-0.28158206,-0.38915533
LKA,1990,-0.00043390613,-0.0025290016,-0.007178209,-0.01402727,0.27136403,0.3261298,-0.15679196,-0.15409479,-0.10695994,-0.15547875
LSO,1990,-8.678624e-05,-0.0004605356,-0.008575336,-0.0075876284,-0.004366349,-0.005656911,0.25574553,0.4897167,-0.24271704,-0.4760116
LTU,1990,-0.00052749243,-0.007502408,-0.024529038,-0.049645267,-0.39604422,-0.45076573,-0.34815338,-0.26521385,-0.2307459,-0.22687262
LUX,1990,0.016648233,0.028933465,-0.012162555,-0.015367233,-0.0030361675,-0.012220427,-0.001418174,-0.000814538,-3.1321433e-05,-0.0005313311
LVA,1990,-0.00057587796,-0.008405822,-0.025484832,-0.051650062,-0.38827622,-0.4320982,-0.34676695,-0.26592192,-0.23889622,-0.2419239
MAR,1990,-3.2265514e-05,-2.7172302e-05,-0.0031323524,-0.0032653909,-0.016962398,-0.0628374,0.46070057,0.6003353,-0.44057354,-0.53420526
MDA,1990,-0.00046405263,-0.007780328,-0.023434555,-0.050796106,-0.34584025,-0.401448,-0.38295814,-0.28575805,-0.24730302,-0.25421748
